video_file_name,frame_number,patch_name,connected_component_area,bounding_box_area,initial_plano_featues,initial_query_features,good_matches,very_good_matches,ratio
IBOT.MOV,5300,180,6497,17945,2,85,,,-1
integrity,0
IBOT.MOV,5400,78,1333,3577,0,0,,,-1
IBOT.MOV,5400,79,3785,7081,21,1,0,,0
IBOT.MOV,5400,142,952,1881,0,0,,,-1
IBOT.MOV,5400,144,1853,4617,0,0,,,-1
IBOT.MOV,5400,147,954,1825,0,0,,,-1
IBOT.MOV,5400,154,2901,6561,0,0,,,-1
IBOT.MOV,5400,159,1428,3649,0,0,,,-1
IBOT.MOV,5400,162,6679,17945,2,76,,,-1
integrity,0
IBOT.MOV,5500,8,716,1425,0,0,,,-1
IBOT.MOV,5500,11,717,1881,0,0,,,-1
IBOT.MOV,5500,22,1386,3577,0,0,,,-1
IBOT.MOV,5500,41,716,1617,0,0,,,-1
IBOT.MOV,5500,49,953,2337,0,0,,,-1
integrity,-1
IBOT.MOV,5600,6,9007,24897,409,474,184,10,0.048913
IBOT.MOV,5600,20,6734,17673,433,314,182,11,0.043956
IBOT.MOV,5600,25,857,2009,0,0,,,-1
IBOT.MOV,5600,36,906,2401,0,0,,,-1
IBOT.MOV,5600,47,1094,2337,0,0,,,-1
IBOT.MOV,5600,57,1144,2993,0,0,,,-1
IBOT.MOV,5600,73,4068,7857,34,0,,,0
IBOT.MOV,5600,92,1327,2009,0,0,,,-1
IBOT.MOV,5600,107,1003,2793,0,0,,,-1
IBOT.MOV,5600,130,1383,3321,0,0,,,-1
IBOT.MOV,5600,141,1096,2665,0,0,,,-1
IBOT.MOV,5600,152,1383,3321,0,0,,,-1
IBOT.MOV,5600,154,909,2409,0,0,,,-1
IBOT.MOV,5600,155,6768,17945,2,77,,,-1
integrity,0
IBOT.MOV,5700,12,7775,17545,425,325,170,10,0.0352941
IBOT.MOV,5700,44,716,1881,0,0,,,-1
IBOT.MOV,5700,53,1048,2337,0,0,,,-1
IBOT.MOV,5700,63,716,1617,0,0,,,-1
IBOT.MOV,5700,66,714,1225,0,0,,,-1
IBOT.MOV,5700,74,4397,10185,54,1,0,,0
IBOT.MOV,5700,114,716,1681,0,0,,,-1
IBOT.MOV,5700,122,1003,2409,0,0,,,-1
IBOT.MOV,5700,125,1002,2793,0,0,,,-1
IBOT.MOV,5700,142,954,2665,0,0,,,-1
IBOT.MOV,5700,174,7532,17945,2,78,,,-1
integrity,0
IBOT.MOV,5800,25,8340,18513,459,337,173,25,0.0924855
IBOT.MOV,5800,69,2234,5145,0,0,,,-1
IBOT.MOV,5800,70,859,2009,0,0,,,-1
IBOT.MOV,5800,86,3652,8633,37,0,,,0
IBOT.MOV,5800,88,857,2009,0,0,,,-1
IBOT.MOV,5800,107,858,2145,0,0,,,-1
IBOT.MOV,5800,121,908,2025,0,0,,,-1
IBOT.MOV,5800,155,1761,4745,0,0,,,-1
IBOT.MOV,5800,162,952,2145,0,0,,,-1
IBOT.MOV,5800,179,1429,3465,0,0,,,-1
IBOT.MOV,5800,183,7201,17945,2,79,,,-1
integrity,0
IBOT.MOV,5900,17,8061,20001,328,407,121,2,0.0165289
IBOT.MOV,5900,25,8075,21801,529,421,226,14,0.0265487
IBOT.MOV,5900,31,1284,3185,0,0,,,-1
IBOT.MOV,5900,74,1898,5073,0,0,,,-1
IBOT.MOV,5900,76,3322,9417,0,0,,,-1
IBOT.MOV,5900,77,904,1881,0,0,,,-1
IBOT.MOV,5900,88,811,2145,0,0,,,-1
IBOT.MOV,5900,89,3739,7857,34,0,,,0
IBOT.MOV,5900,115,2897,6713,0,0,,,-1
IBOT.MOV,5900,148,858,1881,0,0,,,-1
IBOT.MOV,5900,156,1049,2665,0,0,,,-1
IBOT.MOV,5900,164,1853,5073,0,0,,,-1
IBOT.MOV,5900,178,813,1625,0,0,,,-1
IBOT.MOV,5900,182,6588,17945,2,79,,,-1
integrity,0
IBOT.MOV,6000,9,8206,19481,338,444,131,8,0.0610687
IBOT.MOV,6000,13,8300,19737,499,356,200,16,0.05
IBOT.MOV,6000,65,4117,9345,50,0,,,0
